Date,Consensual,Disturbance,Other,Property,Violent,White-Collar
2015-01-01,67.0,11.0,90.0,334.0,445.0,177.0
2015-01-02,101.0,13.0,42.0,306.0,159.0,50.0
2015-01-03,92.0,11.0,39.0,304.0,175.0,27.0
2015-01-04,77.0,11.0,37.0,215.0,154.0,19.0
2015-01-05,51.0,8.0,33.0,252.0,137.0,40.0
2015-01-06,62.0,4.0,43.0,240.0,112.0,41.0
2015-01-07,68.0,4.0,40.0,216.0,106.0,38.0
2015-01-08,56.0,5.0,33.0,227.0,99.0,25.0
2015-01-09,79.0,15.0,61.0,264.0,134.0,33.0
2015-01-10,98.0,12.0,56.0,286.0,164.0,28.0
2015-01-11,84.0,12.0,48.0,305.0,177.0,22.0
2015-01-12,69.0,9.0,47.0,313.0,132.0,36.0
2015-01-13,88.0,6.0,42.0,290.0,146.0,37.0
2015-01-14,110.0,8.0,51.0,325.0,145.0,35.0
2015-01-15,147.0,10.0,44.0,366.0,147.0,44.0
2015-01-16,95.0,10.0,49.0,339.0,172.0,43.0
2015-01-17,108.0,12.0,46.0,342.0,206.0,27.0
2015-01-18,68.0,10.0,48.0,352.0,197.0,19.0
2015-01-19,109.0,5.0,47.0,345.0,166.0,35.0
2015-01-20,75.0,9.0,60.0,403.0,196.0,48.0
2015-01-21,84.0,11.0,46.0,366.0,183.0,51.0
2015-01-22,105.0,13.0,50.0,354.0,179.0,47.0
2015-01-23,110.0,17.0,47.0,379.0,208.0,38.0
2015-01-24,115.0,12.0,50.0,364.0,182.0,33.0
2015-01-25,69.0,7.0,45.0,303.0,187.0,33.0
2015-01-26,67.0,12.0,45.0,328.0,164.0,40.0
2015-01-27,103.0,21.0,58.0,283.0,163.0,45.0
2015-01-28,97.0,7.0,48.0,304.0,147.0,42.0
2015-01-29,116.0,13.0,42.0,309.0,180.0,42.0
2015-01-30,117.0,11.0,53.0,311.0,174.0,48.0
2015-01-31,98.0,7.0,40.0,284.0,179.0,27.0
2015-02-01,30.0,,46.0,214.0,153.0,97.0
2015-02-02,47.0,5.0,37.0,181.0,133.0,65.0
2015-02-03,55.0,11.0,30.0,212.0,143.0,56.0
2015-02-04,84.0,9.0,35.0,241.0,160.0,47.0
2015-02-05,76.0,11.0,50.0,235.0,155.0,41.0
2015-02-06,116.0,15.0,49.0,295.0,171.0,46.0
2015-02-07,115.0,15.0,52.0,279.0,172.0,43.0
2015-02-08,102.0,8.0,42.0,262.0,173.0,27.0
2015-02-09,90.0,16.0,49.0,263.0,140.0,48.0
2015-02-10,91.0,16.0,49.0,267.0,159.0,44.0
2015-02-11,88.0,8.0,46.0,275.0,148.0,39.0
2015-02-12,90.0,9.0,41.0,260.0,159.0,49.0
2015-02-13,111.0,10.0,55.0,245.0,146.0,62.0
2015-02-14,73.0,6.0,47.0,271.0,175.0,25.0
2015-02-15,80.0,8.0,53.0,216.0,160.0,33.0
2015-02-16,89.0,9.0,53.0,226.0,123.0,36.0
2015-02-17,91.0,4.0,37.0,250.0,169.0,43.0
2015-02-18,62.0,10.0,44.0,224.0,122.0,46.0
2015-02-19,56.0,7.0,34.0,216.0,113.0,37.0
2015-02-20,98.0,8.0,38.0,292.0,153.0,60.0
2015-02-21,105.0,9.0,40.0,290.0,175.0,32.0
2015-02-22,84.0,10.0,40.0,226.0,198.0,33.0
2015-02-23,53.0,12.0,42.0,270.0,149.0,45.0
2015-02-24,91.0,10.0,48.0,282.0,161.0,35.0
2015-02-25,74.0,12.0,49.0,219.0,172.0,44.0
2015-02-26,84.0,4.0,31.0,216.0,130.0,49.0
2015-02-27,88.0,9.0,51.0,269.0,161.0,59.0
2015-02-28,72.0,6.0,37.0,239.0,163.0,28.0
2015-03-01,95.0,8.0,69.0,291.0,202.0,81.0
2015-03-02,106.0,4.0,37.0,296.0,167.0,48.0
2015-03-03,84.0,13.0,59.0,256.0,168.0,52.0
2015-03-04,77.0,7.0,35.0,223.0,172.0,44.0
2015-03-05,93.0,11.0,64.0,237.0,166.0,41.0
2015-03-06,112.0,13.0,50.0,299.0,169.0,67.0
2015-03-07,93.0,14.0,49.0,283.0,211.0,45.0
2015-03-08,101.0,9.0,32.0,272.0,196.0,15.0
2015-03-09,84.0,16.0,57.0,292.0,215.0,61.0
2015-03-10,107.0,15.0,57.0,310.0,198.0,66.0
2015-03-11,92.0,18.0,54.0,329.0,187.0,60.0
2015-03-12,94.0,22.0,58.0,314.0,215.0,45.0
2015-03-13,114.0,21.0,42.0,365.0,217.0,52.0
2015-03-14,103.0,12.0,51.0,359.0,240.0,31.0
2015-03-15,75.0,18.0,44.0,346.0,255.0,37.0
2015-03-16,100.0,15.0,55.0,334.0,226.0,48.0
2015-03-17,105.0,10.0,43.0,305.0,196.0,33.0
2015-03-18,102.0,10.0,49.0,285.0,193.0,48.0
2015-03-19,86.0,11.0,30.0,349.0,212.0,28.0
2015-03-20,107.0,17.0,41.0,350.0,207.0,52.0
2015-03-21,107.0,9.0,46.0,312.0,185.0,30.0
2015-03-22,76.0,9.0,35.0,312.0,194.0,29.0
2015-03-23,61.0,12.0,49.0,258.0,170.0,41.0
2015-03-24,106.0,10.0,47.0,278.0,150.0,47.0
2015-03-25,109.0,18.0,48.0,304.0,189.0,54.0
2015-03-26,103.0,9.0,40.0,308.0,188.0,34.0
2015-03-27,106.0,7.0,47.0,333.0,176.0,54.0
2015-03-28,90.0,12.0,36.0,293.0,193.0,33.0
2015-03-29,90.0,5.0,40.0,274.0,178.0,32.0
2015-03-30,94.0,11.0,56.0,324.0,176.0,56.0
2015-03-31,76.0,17.0,64.0,292.0,204.0,37.0
2015-04-01,93.0,16.0,65.0,378.0,253.0,104.0
2015-04-02,114.0,16.0,47.0,347.0,214.0,53.0
2015-04-03,102.0,9.0,41.0,326.0,187.0,42.0
2015-04-04,91.0,10.0,56.0,299.0,196.0,39.0
2015-04-05,65.0,10.0,40.0,296.0,234.0,26.0
2015-04-06,92.0,8.0,51.0,311.0,169.0,43.0
2015-04-07,84.0,12.0,48.0,295.0,115.0,49.0
2015-04-08,87.0,7.0,58.0,329.0,151.0,47.0
2015-04-09,76.0,11.0,58.0,299.0,158.0,43.0
2015-04-10,90.0,12.0,45.0,341.0,157.0,66.0
2015-04-11,89.0,19.0,47.0,322.0,207.0,35.0
2015-04-12,90.0,12.0,54.0,340.0,243.0,34.0
