Date,Consensual,Disturbance,Property,Violent,White Collar,Total
2015-01-01,12.0,48.0,833.0,381.0,25.0,1299.0
2015-01-02,3.0,14.0,347.0,122.0,26.0,512.0
2015-01-03,2.0,15.0,319.0,139.0,14.0,489.0
2015-01-04,5.0,11.0,325.0,151.0,14.0,506.0
2015-01-05,5.0,21.0,432.0,141.0,21.0,620.0
2015-01-06,3.0,9.0,324.0,148.0,18.0,502.0
2015-01-07,4.0,20.0,342.0,125.0,23.0,514.0
2015-01-08,5.0,16.0,376.0,118.0,24.0,539.0
2015-01-09,8.0,12.0,425.0,156.0,15.0,616.0
2015-01-10,2.0,17.0,411.0,162.0,11.0,603.0
2015-01-11,3.0,10.0,319.0,160.0,11.0,503.0
2015-01-12,5.0,15.0,363.0,119.0,15.0,517.0
2015-01-13,6.0,20.0,328.0,127.0,15.0,496.0
2015-01-14,2.0,21.0,382.0,148.0,11.0,564.0
2015-01-15,8.0,25.0,454.0,122.0,16.0,625.0
2015-01-16,5.0,18.0,403.0,132.0,15.0,573.0
2015-01-17,3.0,14.0,368.0,167.0,10.0,562.0
2015-01-18,4.0,10.0,348.0,136.0,7.0,505.0
2015-01-19,5.0,16.0,312.0,141.0,8.0,482.0
2015-01-20,3.0,17.0,438.0,122.0,14.0,594.0
2015-01-21,3.0,23.0,393.0,129.0,10.0,558.0
2015-01-22,6.0,15.0,364.0,157.0,21.0,563.0
2015-01-23,13.0,17.0,411.0,129.0,8.0,578.0
2015-01-24,7.0,15.0,356.0,171.0,17.0,566.0
2015-01-25,6.0,18.0,352.0,158.0,6.0,540.0
2015-01-26,2.0,14.0,431.0,170.0,21.0,638.0
2015-01-27,3.0,28.0,377.0,141.0,21.0,570.0
2015-01-28,6.0,18.0,358.0,137.0,9.0,528.0
2015-01-29,8.0,16.0,370.0,150.0,14.0,558.0
2015-01-30,5.0,18.0,415.0,154.0,16.0,608.0
2015-01-31,3.0,23.0,349.0,178.0,12.0,565.0
2015-02-01,5.0,34.0,464.0,226.0,16.0,745.0
2015-02-02,3.0,24.0,392.0,140.0,25.0,584.0
2015-02-03,6.0,16.0,367.0,106.0,23.0,518.0
2015-02-04,1.0,20.0,369.0,147.0,19.0,556.0
2015-02-05,4.0,17.0,361.0,138.0,14.0,534.0
2015-02-06,7.0,29.0,369.0,159.0,16.0,580.0
2015-02-07,6.0,23.0,368.0,137.0,11.0,545.0
2015-02-08,8.0,14.0,292.0,192.0,12.0,518.0
2015-02-09,11.0,20.0,374.0,145.0,15.0,565.0
2015-02-10,5.0,23.0,355.0,126.0,12.0,521.0
2015-02-11,3.0,28.0,374.0,123.0,13.0,541.0
2015-02-12,4.0,21.0,413.0,154.0,15.0,607.0
2015-02-13,10.0,19.0,432.0,154.0,16.0,631.0
2015-02-14,7.0,26.0,357.0,177.0,6.0,573.0
2015-02-15,4.0,20.0,390.0,168.0,12.0,594.0
2015-02-16,3.0,14.0,385.0,155.0,8.0,565.0
2015-02-17,1.0,15.0,369.0,116.0,13.0,514.0
2015-02-18,5.0,21.0,383.0,136.0,15.0,560.0
2015-02-19,4.0,15.0,378.0,164.0,19.0,580.0
2015-02-20,5.0,13.0,429.0,144.0,13.0,604.0
2015-02-21,6.0,20.0,363.0,149.0,11.0,549.0
2015-02-22,7.0,15.0,328.0,164.0,7.0,521.0
2015-02-23,4.0,18.0,351.0,147.0,13.0,533.0
2015-02-24,5.0,26.0,343.0,135.0,16.0,525.0
2015-02-25,5.0,17.0,376.0,120.0,24.0,542.0
2015-02-26,14.0,17.0,370.0,142.0,17.0,560.0
2015-02-27,6.0,26.0,396.0,151.0,18.0,597.0
2015-02-28,3.0,13.0,338.0,156.0,16.0,526.0
2015-03-01,7.0,36.0,508.0,225.0,24.0,800.0
2015-03-02,6.0,6.0,416.0,138.0,19.0,585.0
2015-03-03,,11.0,385.0,141.0,15.0,
2015-03-04,3.0,20.0,334.0,138.0,14.0,509.0
2015-03-05,4.0,21.0,355.0,138.0,14.0,532.0
2015-03-06,10.0,17.0,413.0,150.0,15.0,605.0
2015-03-07,7.0,23.0,363.0,179.0,10.0,582.0
