Date,Temp (F) high,Temp (F) avg,Temp (F) low,Dew Point (F) high,Dew Point (F) avg,Dew Point (F) low,Humidity (%) high,Humidity (%) avg,Humidity (%) low,Sea Level Press (in.) high,Sea Level Press (in.) avg,Sea Level Press (in.) low,Visibility (mi) high,Visibility (mi) avg,Visibility (mi) low,Wind (mph) high,Wind (mph) avg,Wind (mph) gust,Precip (in) sum,Event
1/1/2015,59,48,37,38,29,20,76,53,29,30.17,30.12,30.06,10,10,9,7,1,11,0,Clear
1/2/2015,61,50,39,41,36,27,79,58,36,30.17,30.13,30.06,10,10,9,6,1,9,0,Clear
1/3/2015,63,52,40,45,40,34,83,65,46,30.29,30.23,30.16,10,9,7,7,1,10,0,Clear
1/4/2015,69,56,42,49,40,32,89,58,27,30.35,30.29,30.25,10,9,6,7,1,11,0,Clear
1/5/2015,81,66,50,38,29,22,48,30,12,30.26,30.19,30.13,10,10,10,7,1,10,0,Clear
1/6/2015,84,71,57,35,28,22,32,21,10,30.2,30.14,30.06,10,10,10,7,3,10,0,Clear
1/7/2015,85,69,53,45,36,29,57,37,16,30.13,30.08,30.04,10,10,10,7,1,11,0,Clear
1/8/2015,75,63,51,52,46,39,77,53,29,30.07,30.03,29.99,10,10,5,8,1,14,0,Clear
1/9/2015,72,64,56,56,51,41,87,61,34,30.05,30,29.94,9,6,2,7,1,11,0,Clear
1/10/2015,63,58,52,56,52,46,93,77,60,30.05,30,29.96,8,4,2,6,1,9,0.48,Rain
1/11/2015,63,60,56,56,55,54,93,86,78,30.11,30.02,29.98,10,4,1,8,1,10,0.5,Rain
1/12/2015,66,60,53,55,53,51,93,78,63,30.2,30.13,30.08,7,4,2,8,1,10,0,Clear
1/13/2015,68,61,54,53,52,47,93,71,48,30.14,30.09,30.01,10,5,2,8,1,12,0,Clear
1/14/2015,73,60,47,50,41,32,80,52,23,30.21,30.15,30.11,10,10,9,9,1,13,0,Clear
1/15/2015,76,64,51,43,33,27,55,36,17,30.26,30.2,30.15,10,10,10,9,2,14,0,Clear
1/16/2015,77,64,50,50,35,26,77,47,16,30.18,30.13,30.08,10,10,10,6,1,10,0,Clear
1/17/2015,78,64,50,48,38,28,72,44,16,30.22,30.15,30.1,10,10,9,8,1,13,0,Clear
1/18/2015,75,64,53,53,45,39,86,58,29,30.23,30.18,30.15,10,9,5,7,1,9,0,Clear
1/19/2015,72,61,50,55,50,43,93,64,35,30.16,30.08,30.04,10,5,2,6,0,9,0,Clear
1/20/2015,63,58,53,53,52,51,100,86,72,30.05,29.99,29.92,4,2,0,8,0,12,0,Fog
1/21/2015,71,63,54,52,50,48,80,64,47,30.09,30,29.95,9,4,2,6,1,10,0,Clear
1/22/2015,75,61,47,45,33,17,83,48,12,30.24,30.18,30.1,10,10,7,7,0,9,0,Clear
1/23/2015,75,63,50,35,25,15,47,29,10,30.25,30.18,30.12,10,10,10,7,1,11,0,Clear
1/24/2015,82,66,49,37,31,26,48,31,14,30.11,30.04,29.97,10,10,10,8,0,12,0,Clear
1/25/2015,83,66,48,37,33,24,61,38,15,30.03,30,29.94,10,10,10,6,1,8,0,Clear
1/26/2015,80,69,57,53,40,31,75,47,18,30.11,30.02,29.96,10,10,10,10,3,20,0.08,Rain
1/27/2015,74,66,57,54,52,47,86,64,41,30.19,30.15,30.11,10,10,8,7,1,14,0,Clear
1/28/2015,75,66,56,52,48,42,77,55,33,30.17,30.1,30.05,10,10,10,6,1,10,0,Clear
1/29/2015,75,68,60,52,45,40,60,45,29,30.06,30.02,29.97,10,10,8,6,1,9,T,Rain
1/30/2015,70,65,59,55,52,47,87,66,44,29.98,29.89,29.83,10,9,3,10,1,16,0.03,Rain
1/31/2015,71,64,56,55,54,51,87,70,53,30,29.88,29.83,10,8,7,8,1,14,0,Clear
2/1/2015,76,63,49,52,48,42,89,60,31,30.12,30.06,30,10,8,4,8,1,13,0,Clear
2/2/2015,78,65,51,53,46,35,86,55,23,30.09,30.05,29.99,10,9,6,7,1,11,0,Clear
2/3/2015,72,62,51,55,53,48,100,76,51,30.09,30.06,30,8,3,0,6,1,10,0,Fog
2/4/2015,72,64,56,55,53,50,93,71,49,30.13,30.09,30.04,3,2,1,6,1,10,0,Clear
2/5/2015,82,68,53,55,52,41,100,63,25,30.1,30.05,29.97,6,3,0,9,1,13,0,Fog
2/6/2015,75,65,54,55,52,41,93,62,31,30.16,30.09,30.06,10,3,1,8,2,11,0,Clear
2/7/2015,69,62,54,58,54,46,93,71,49,30.18,30.14,30.12,10,7,3,8,1,11,0.02,Rain
2/8/2015,77,68,59,58,58,56,90,70,50,30.17,30.13,30.06,10,7,0,9,1,16,0,Fog
2/9/2015,73,66,58,59,56,47,93,69,44,30.16,30.11,30.02,10,5,0,9,2,16,0,Fog
2/10/2015,78,66,53,52,46,41,80,54,27,30.01,29.95,29.88,10,10,10,7,0,10,0,Clear
2/11/2015,85,70,55,37,31,21,51,31,10,30.07,30.01,29.95,10,10,10,6,1,11,0,Clear
2/12/2015,85,71,56,33,27,21,33,22,10,30.12,30.06,30.01,10,10,10,9,1,13,0,Clear
2/13/2015,88,73,57,46,33,21,48,29,9,30.07,30.02,29.96,10,10,10,9,2,15,0,Clear
2/14/2015,86,71,56,43,35,26,51,32,12,30.07,30.02,29.96,10,10,10,9,1,14,0,Clear
2/15/2015,80,67,54,56,46,34,87,54,21,30,29.96,29.89,10,9,4,8,1,15,0,Clear
2/16/2015,70,63,56,55,54,53,93,76,59,30.03,29.99,29.95,10,5,2,7,1,10,0,Clear
2/17/2015,71,64,57,53,52,51,86,70,53,30.13,30.08,30.04,10,6,4,8,1,11,0,Clear
