Date,Temp. (¡F),Events
1/1/15,23,Clear
1/2/15,25,Clear
1/3/15,32,"Rain , Snow"
1/4/15,18,"Fog , Snow"
1/5/15,2,Snow
1/6/15,3,Snow
1/7/15,0,Clear
1/8/15,5,Snow
1/9/15,6,Snow
1/10/15,11,Clear
1/11/15,27,"Fog , Snow"
1/12/15,22,Snow
1/13/15,11,Snow
1/14/15,10,Snow
1/15/15,26,Clear
1/16/15,29,Clear
1/17/15,34,Clear
1/18/15,34,Snow
1/19/15,33,Snow
1/20/15,33,Clear
1/21/15,31,Snow
1/22/15,30,Clear
1/23/15,30,Clear
1/24/15,36,Clear
1/25/15,29,Snow
1/26/15,21,Snow
1/27/15,26,Snow
1/28/15,27,Rain
1/29/15,32,Snow
1/30/15,24,Clear
1/31/15,28,Snow
2/1/15,25,"Fog , Snow"
2/2/15,13,Snow
2/3/15,14,"Fog , Snow"
2/4/15,15,Snow
2/5/15,7,Clear
2/6/15,22,Clear
2/7/15,30,Clear
2/8/15,32,"Rain , Snow"
2/9/15,23,Snow
2/10/15,24,Clear
2/11/15,27,Clear
2/12/15,13,Snow
2/13/15,16,Snow
2/14/15,14,Snow
2/15/15,6,Snow
2/16/15,12,Clear
2/17/15,14,Snow
2/18/15,3,Snow
2/19/15,-2,Clear
2/20/15,6,Snow
2/21/15,25,Snow
2/22/15,15,Snow
2/23/15,4,Clear
2/24/15,17,Snow
2/25/15,18,Snow
2/26/15,10,"Fog , Snow"
2/27/15,6,Clear
2/28/15,6,Snow
3/1/15,18,Snow
3/2/15,23,Clear
3/3/15,29,"Rain , Snow"
3/4/15,21,Clear
3/5/15,10,Clear
3/6/15,14,Clear
3/7/15,34,Clear
3/8/15,34,Clear
3/9/15,38,Clear
3/10/15,43,Fog
3/11/15,41,Clear
3/12/15,42,Clear
3/13/15,51,Clear
3/14/15,49,Clear
3/15/15,46,Clear
3/16/15,58,Clear
3/17/15,37,Clear
3/18/15,39,Clear
3/19/15,42,Clear
3/20/15,44,Clear
3/21/15,41,Clear
3/22/15,31,Snow
3/23/15,30,"Fog , Snow"
3/24/15,28,Rain
3/25/15,38,Rain
3/26/15,37,Clear
3/27/15,26,Snow
3/28/15,28,Clear
3/29/15,36,"Rain , Snow"
3/30/15,48,Clear
3/31/15,49,Clear
4/1/15,54,Clear
4/2/15,58,Rain
4/3/15,42,Rain
4/4/15,43,Clear
4/5/15,51,Clear
4/6/15,48,Rain
4/7/15,42,Rain
4/8/15,45,"Fog , Rain"
4/9/15,56,"Fog , Rain , Thunderstorm"
4/10/15,51,Rain
4/11/15,50,Clear
4/12/15,55,Rain
4/13/15,57,"Rain , Thunderstorm"
4/14/15,53,Clear
4/15/15,54,Clear
4/16/15,56,Rain
4/17/15,62,Clear
4/18/15,56,Clear
4/19/15,58,Rain
4/20/15,47,Rain
4/21/15,46,Clear
4/22/15,40,Snow
4/23/15,44,Clear
4/24/15,43,Rain
4/25/15,44,Rain
4/26/15,46,Clear
4/27/15,47,Clear
4/28/15,47,Clear
4/29/15,50,Clear
4/30/15,45,Clear
5/1/15,53,Clear
5/2/15,63,Clear
5/3/15,67,"Rain , Thunderstorm"
5/4/15,65,Clear
5/5/15,52,"Fog , Rain , Thunderstorm"
5/6/15,62,Fog
5/7/15,68,Rain
5/8/15,72,"Rain , Thunderstorm"
5/9/15,56,"Fog , Rain"
5/10/15,50,"Fog , Rain"
5/11/15,58,Rain
5/12/15,50,Clear
5/13/15,46,Clear
5/14/15,55,Rain
5/15/15,67,Rain
5/16/15,71,Rain
5/17/15,74,Rain
5/18/15,63,Clear
5/19/15,47,Clear
5/20/15,44,Rain
5/21/15,57,Clear
5/22/15,57,Clear
5/23/15,63,Clear
5/24/15,66,Rain
5/25/15,72,Rain
5/26/15,69,Rain
5/27/15,67,Clear
5/28/15,68,Clear
5/29/15,72,Rain
5/30/15,58,Rain
5/31/15,49,Rain
6/1/15,52,Clear
6/2/15,56,Clear
6/3/15,64,Clear
6/4/15,69,Clear
6/5/15,63,Clear
6/6/15,62,Clear
6/7/15,68,"Rain , Thunderstorm"
6/8/15,73,"Rain , Hail , Thunderstorm"
6/9/15,73,Clear
6/10/15,80,Clear
6/11/15,65,Rain
6/12/15,62,"Rain , Thunderstorm"
6/13/15,71,"Fog , Rain , Thunderstorm"
6/14/15,76,Rain
6/15/15,74,"Fog , Rain , Thunderstorm"
6/16/15,64,Clear
6/17/15,64,Rain
6/18/15,69,"Fog , Rain , Thunderstorm"
6/19/15,61,Clear
6/20/15,66,"Rain , Thunderstorm"
6/21/15,76,Clear
6/22/15,75,"Rain , Thunderstorm"
6/23/15,73,Clear
6/24/15,70,Clear
6/25/15,70,"Rain , Thunderstorm"
6/26/15,63,Rain
6/27/15,66,Clear
6/28/15,67,Rain
6/29/15,70,"Rain , Thunderstorm"
6/30/15,67,Rain
7/1/15,62,Clear
7/2/15,61,Clear
7/3/15,66,Clear
7/4/15,70,Clear
7/5/15,72,Clear
7/6/15,75,"Rain , Thunderstorm"
7/7/15,63,Rain
7/8/15,61,Rain
7/9/15,68,Rain
7/10/15,71,Clear
7/11/15,70,Rain
7/12/15,76,Clear
7/13/15,77,"Rain , Thunderstorm"
7/14/15,72,Clear
7/15/15,67,Clear
7/16/15,67,"Rain , Thunderstorm"
7/17/15,82,"Rain , Thunderstorm"
7/18/15,81,"Rain , Thunderstorm"
7/19/15,75,Clear
7/20/15,74,Clear
7/21/15,74,Clear
7/22/15,74,Clear
7/23/15,74,Clear
7/24/15,74,Clear
7/25/15,80,Clear
7/26/15,72,Rain
7/27/15,78,Clear
7/28/15,79,Clear
7/29/15,79,Rain
7/30/15,77,Clear
7/31/15,77,Clear
8/1/15,76,Clear
8/2/15,79,"Rain , Thunderstorm"
8/3/15,75,Clear
8/4/15,72,Clear
8/5/15,72,Clear
8/6/15,74,Clear
8/7/15,73,Clear
8/8/15,75,Clear
8/9/15,74,Rain
8/10/15,76,Rain
8/11/15,74,Clear
8/12/15,71,Clear
8/13/15,75,Clear
8/14/15,79,"Rain , Thunderstorm"
8/15/15,80,"Rain , Thunderstorm"
8/16/15,80,Clear
8/17/15,78,"Rain , Thunderstorm"
8/18/15,75,"Rain , Thunderstorm"
8/19/15,69,Rain
8/20/15,67,Clear
8/21/15,69,Clear
8/22/15,71,Clear
8/23/15,69,Rain
8/24/15,65,Clear
8/25/15,66,Clear
8/26/15,62,Clear
8/27/15,64,Clear
8/28/15,64,Clear
8/29/15,67,Rain
8/30/15,70,Clear
8/31/15,73,Fog
9/1/15,78,Clear
9/2/15,81,Clear
9/3/15,81,Clear
9/4/15,77,Clear
9/5/15,78,Clear
