,Date,Temp (F) avg,Event
0,2015-01-01,48,Clear
1,2015-01-02,50,Clear
2,2015-01-03,52,Clear
3,2015-01-04,56,Clear
4,2015-01-05,66,Clear
5,2015-01-06,71,Clear
6,2015-01-07,69,Clear
7,2015-01-08,63,Clear
8,2015-01-09,64,Clear
9,2015-01-10,58,Rain
10,2015-01-11,60,Rain
11,2015-01-12,60,Clear
12,2015-01-13,61,Clear
13,2015-01-14,60,Clear
14,2015-01-15,64,Clear
15,2015-01-16,64,Clear
16,2015-01-17,64,Clear
17,2015-01-18,64,Clear
18,2015-01-19,61,Clear
19,2015-01-20,58,Fog
20,2015-01-21,63,Clear
21,2015-01-22,61,Clear
22,2015-01-23,63,Clear
23,2015-01-24,66,Clear
24,2015-01-25,66,Clear
25,2015-01-26,69,Rain
26,2015-01-27,66,Clear
27,2015-01-28,66,Clear
28,2015-01-29,68,Rain
29,2015-01-30,65,Rain
30,2015-01-31,64,Clear
31,2015-02-01,63,Clear
32,2015-02-02,65,Clear
33,2015-02-03,62,Fog
34,2015-02-04,64,Clear
35,2015-02-05,68,Fog
36,2015-02-06,65,Clear
37,2015-02-07,62,Rain
38,2015-02-08,68,Fog
39,2015-02-09,66,Fog
40,2015-02-10,66,Clear
41,2015-02-11,70,Clear
42,2015-02-12,71,Clear
43,2015-02-13,73,Clear
44,2015-02-14,71,Clear
45,2015-02-15,67,Clear
46,2015-02-16,63,Clear
47,2015-02-17,64,Clear
48,2015-02-18,65,Clear
49,2015-02-19,65,Clear
50,2015-02-20,63,Clear
51,2015-02-21,63,Clear
52,2015-02-22,59,"Fog , Rain"
53,2015-02-23,58,Clear
54,2015-02-24,60,Clear
55,2015-02-25,62,Clear
56,2015-02-26,61,Clear
57,2015-02-27,61,Clear
58,2015-02-28,59,Rain
59,2015-03-01,58,Rain
60,2015-03-02,56,Rain
61,2015-03-03,58,Clear
62,2015-03-04,60,Clear
63,2015-03-05,64,Clear
64,2015-03-06,66,Clear
65,2015-03-07,70,Clear
66,2015-03-08,66,Clear
67,2015-03-09,65,Clear
68,2015-03-10,68,Clear
69,2015-03-11,67,Clear
70,2015-03-12,71,Clear
71,2015-03-13,76,Clear
72,2015-03-14,78,Clear
73,2015-03-15,79,Clear
74,2015-03-16,78,Clear
75,2015-03-17,73,Clear
76,2015-03-18,69,Rain
77,2015-03-19,68,Clear
78,2015-03-20,69,Clear
79,2015-03-21,69,Clear
80,2015-03-22,66,Clear
81,2015-03-23,65,Clear
82,2015-03-24,67,Clear
83,2015-03-25,72,Clear
84,2015-03-26,77,Clear
85,2015-03-27,77,Clear
86,2015-03-28,71,Clear
87,2015-03-29,67,Fog
88,2015-03-30,68,Clear
89,2015-03-31,65,Clear
90,2015-04-01,66,Clear
91,2015-04-02,65,Clear
92,2015-04-03,72,Clear
93,2015-04-04,72,Clear
94,2015-04-05,64,Clear
95,2015-04-06,60,Clear
96,2015-04-07,59,Rain
97,2015-04-08,60,Clear
98,2015-04-09,65,Clear
99,2015-04-10,63,Clear
100,2015-04-11,63,Clear
101,2015-04-12,67,Clear
102,2015-04-13,67,Clear
103,2015-04-14,66,Clear
104,2015-04-15,69,Clear
105,2015-04-16,68,Clear
106,2015-04-17,69,Clear
107,2015-04-18,69,Clear
108,2015-04-19,65,Clear
109,2015-04-20,63,Clear
110,2015-04-21,63,Clear
111,2015-04-22,63,Clear
112,2015-04-23,62,Clear
113,2015-04-24,62,Clear
114,2015-04-25,61,Clear
115,2015-04-26,66,Clear
116,2015-04-27,70,Clear
117,2015-04-28,77,Clear
118,2015-04-29,75,Clear
119,2015-04-30,73,Clear
120,2015-05-01,71,Clear
121,2015-05-02,70,Clear
122,2015-05-03,66,Clear
123,2015-05-04,63,Clear
124,2015-05-05,63,Clear
125,2015-05-06,63,Clear
126,2015-05-07,60,Rain
127,2015-05-08,57,Rain
128,2015-05-09,62,Clear
129,2015-05-10,63,Clear
130,2015-05-11,67,Clear
131,2015-05-12,65,Clear
132,2015-05-13,64,Clear
133,2015-05-14,61,Rain
134,2015-05-15,61,Rain
135,2015-05-16,64,Clear
136,2015-05-17,65,Clear
137,2015-05-18,66,Clear
138,2015-05-19,65,Clear
139,2015-05-20,65,Clear
140,2015-05-21,64,Clear
141,2015-05-22,63,Clear
142,2015-05-23,64,Clear
143,2015-05-24,64,Clear
144,2015-05-25,64,Clear
145,2015-05-26,64,Clear
146,2015-05-27,65,Clear
147,2015-05-28,66,Clear
148,2015-05-29,68,Clear
149,2015-05-30,68,Clear
150,2015-05-31,66,Clear
151,2015-06-01,67,Clear
152,2015-06-02,68,Clear
153,2015-06-03,68,Rain
154,2015-06-04,66,Clear
155,2015-06-05,67,Clear
156,2015-06-06,65,Clear
157,2015-06-07,69,Clear
158,2015-06-08,73,Clear
159,2015-06-09,74,Rain
160,2015-06-10,68,Clear
161,2015-06-11,69,Clear
162,2015-06-12,68,Clear
163,2015-06-13,68,Clear
164,2015-06-14,70,Clear
165,2015-06-15,70,Clear
166,2015-06-16,70,Clear
167,2015-06-17,70,Clear
168,2015-06-18,72,Clear
169,2015-06-19,70,Clear
170,2015-06-20,74,Clear
171,2015-06-21,73,Clear
172,2015-06-22,73,Clear
173,2015-06-23,74,Clear
174,2015-06-24,73,Clear
175,2015-06-25,72,Clear
176,2015-06-26,69,Clear
177,2015-06-27,70,Clear
178,2015-06-28,77,Clear
179,2015-06-29,80,Clear
180,2015-06-30,78,Rain
181,2015-07-01,76,Clear
182,2015-07-02,74,Clear
183,2015-07-03,72,Clear
184,2015-07-04,71,Clear
185,2015-07-05,70,Clear
186,2015-07-06,70,Clear
187,2015-07-07,71,Clear
188,2015-07-08,71,Clear
189,2015-07-09,70,Clear
190,2015-07-10,69,Clear
191,2015-07-11,71,Clear
192,2015-07-12,72,Clear
193,2015-07-13,74,Clear
194,2015-07-14,74,Clear
195,2015-07-15,73,Clear
196,2015-07-16,73,Clear
197,2015-07-17,72,Clear
198,2015-07-18,76,Rain
199,2015-07-19,82,Rain
200,2015-07-20,78,Clear
201,2015-07-21,75,Clear
202,2015-07-22,75,Clear
203,2015-07-23,75,Clear
204,2015-07-24,76,Clear
205,2015-07-25,77,Clear
206,2015-07-26,76,Clear
207,2015-07-27,75,Clear
208,2015-07-28,76,Clear
209,2015-07-29,74,Clear
210,2015-07-30,76,Clear
211,2015-07-31,76,Clear
212,2015-08-01,75,Clear
213,2015-08-02,75,Clear
214,2015-08-03,76,Clear
215,2015-08-04,78,Clear
216,2015-08-05,78,Clear
217,2015-08-06,77,Clear
218,2015-08-07,74,Clear
219,2015-08-08,73,Clear
220,2015-08-09,71,Clear
221,2015-08-10,71,Clear
222,2015-08-11,72,Clear
223,2015-08-12,74,Clear
224,2015-08-13,80,Clear
225,2015-08-14,80,Clear
226,2015-08-15,84,Clear
227,2015-08-16,82,Clear
228,2015-08-17,79,Clear
229,2015-08-18,77,Clear
230,2015-08-19,75,Clear
231,2015-08-20,74,Clear
232,2015-08-21,74,Clear
233,2015-08-22,76,Clear
234,2015-08-23,75,Clear
235,2015-08-24,77,Clear
236,2015-08-25,79,Rain
237,2015-08-26,83,Clear
238,2015-08-27,82,Clear
239,2015-08-28,85,Clear
240,2015-08-29,84,Clear
241,2015-08-30,81,Clear
242,2015-08-31,77,Clear
243,2015-09-01,76,Clear
244,2015-09-02,74,Clear
245,2015-09-03,73,Clear
246,2015-09-04,73,Clear
