Date,Temp (F) avg,Event,Consensual,Disturbance,Property,Violent,White Collar,Total
2015-01-01,23,Clear,67,11.0,334,445,177,1124.0
2015-01-02,25,Clear,101,13.0,306,159,50,671.0
2015-01-03,32,"Rain , Snow",92,11.0,304,175,27,648.0
2015-01-04,18,"Fog , Snow",77,11.0,215,154,19,513.0
2015-01-05,2,Snow,51,8.0,252,137,40,521.0
2015-01-06,3,Snow,62,4.0,240,112,41,502.0
2015-01-07,0,Clear,68,4.0,216,106,38,472.0
2015-01-08,5,Snow,56,5.0,227,99,25,445.0
2015-01-09,6,Snow,79,15.0,264,134,33,586.0
2015-01-10,11,Clear,98,12.0,286,164,28,644.0
2015-01-11,27,"Fog , Snow",84,12.0,305,177,22,648.0
2015-01-12,22,Snow,69,9.0,313,132,36,606.0
2015-01-13,11,Snow,88,6.0,290,146,37,609.0
2015-01-14,10,Snow,110,8.0,325,145,35,674.0
2015-01-15,26,Clear,147,10.0,366,147,44,758.0
2015-01-16,29,Clear,95,10.0,339,172,43,708.0
2015-01-17,34,Clear,108,12.0,342,206,27,741.0
2015-01-18,34,Snow,68,10.0,352,197,19,694.0
2015-01-19,33,Snow,109,5.0,345,166,35,707.0
2015-01-20,33,Clear,75,9.0,403,196,48,791.0
2015-01-21,31,Snow,84,11.0,366,183,51,741.0
2015-01-22,30,Clear,105,13.0,354,179,47,748.0
2015-01-23,30,Clear,110,17.0,379,208,38,799.0
2015-01-24,36,Clear,115,12.0,364,182,33,756.0
2015-01-25,29,Snow,69,7.0,303,187,33,644.0
2015-01-26,21,Snow,67,12.0,328,164,40,656.0
2015-01-27,26,Snow,103,21.0,283,163,45,673.0
2015-01-28,27,Rain,97,7.0,304,147,42,645.0
2015-01-29,32,Snow,116,13.0,309,180,42,702.0
2015-01-30,24,Clear,117,11.0,311,174,48,714.0
2015-01-31,28,Snow,98,7.0,284,179,27,635.0
2015-02-01,25,"Fog , Snow",30,,214,153,97,540.0
2015-02-02,13,Snow,47,5.0,181,133,65,468.0
2015-02-03,14,"Fog , Snow",55,11.0,212,143,56,507.0
2015-02-04,15,Snow,84,9.0,241,160,47,576.0
2015-02-05,7,Clear,76,11.0,235,155,41,568.0
2015-02-06,22,Clear,116,15.0,295,171,46,692.0
2015-02-07,30,Clear,115,15.0,279,172,43,676.0
2015-02-08,32,"Rain , Snow",102,8.0,262,173,27,614.0
2015-02-09,23,Snow,90,16.0,263,140,48,606.0
2015-02-10,24,Clear,91,16.0,267,159,44,626.0
2015-02-11,27,Clear,88,8.0,275,148,39,604.0
2015-02-12,13,Snow,90,9.0,260,159,49,608.0
2015-02-13,16,Snow,111,10.0,245,146,62,629.0
2015-02-14,14,Snow,73,6.0,271,175,25,597.0
2015-02-15,6,Snow,80,8.0,216,160,33,550.0
2015-02-16,12,Clear,89,9.0,226,123,36,536.0
2015-02-17,14,Snow,91,4.0,250,169,43,594.0
2015-02-18,3,Snow,62,10.0,224,122,46,508.0
2015-02-19,-2,Clear,56,7.0,216,113,37,463.0
2015-02-20,6,Snow,98,8.0,292,153,60,649.0
2015-02-21,25,Snow,105,9.0,290,175,32,651.0
2015-02-22,15,Snow,84,10.0,226,198,33,591.0
2015-02-23,4,Clear,53,12.0,270,149,45,571.0
2015-02-24,17,Snow,91,10.0,282,161,35,627.0
2015-02-25,18,Snow,74,12.0,219,172,44,570.0
2015-02-26,10,"Fog , Snow",84,4.0,216,130,49,514.0
2015-02-27,6,Clear,88,9.0,269,161,59,637.0
2015-02-28,6,Snow,72,6.0,239,163,28,545.0
2015-03-01,18,Snow,95,8.0,291,202,81,746.0
2015-03-02,23,Clear,106,4.0,296,167,48,658.0
2015-03-03,29,"Rain , Snow",84,13.0,256,168,52,632.0
2015-03-04,21,Clear,77,7.0,223,172,44,558.0
2015-03-05,10,Clear,93,11.0,237,166,41,612.0
2015-03-06,14,Clear,112,13.0,299,169,67,710.0
2015-03-07,34,Clear,93,14.0,283,211,45,695.0
2015-03-08,34,Clear,101,9.0,272,196,15,625.0
2015-03-09,38,Clear,84,16.0,292,215,61,725.0
2015-03-10,43,Fog,107,15.0,310,198,66,753.0
2015-03-11,41,Clear,92,18.0,329,187,60,740.0
2015-03-12,42,Clear,94,22.0,314,215,45,748.0
2015-03-13,51,Clear,114,21.0,365,217,52,811.0
2015-03-14,49,Clear,103,12.0,359,240,31,796.0
2015-03-15,46,Clear,75,18.0,346,255,37,775.0
2015-03-16,58,Clear,100,15.0,334,226,48,778.0
2015-03-17,37,Clear,105,10.0,305,196,33,692.0
2015-03-18,39,Clear,102,10.0,285,193,48,687.0
2015-03-19,42,Clear,86,11.0,349,212,28,716.0
2015-03-20,44,Clear,107,17.0,350,207,52,774.0
2015-03-21,41,Clear,107,9.0,312,185,30,689.0
2015-03-22,31,Snow,76,9.0,312,194,29,655.0
2015-03-23,30,"Fog , Snow",61,12.0,258,170,41,591.0
2015-03-24,28,Rain,106,10.0,278,150,47,638.0
2015-03-25,38,Rain,109,18.0,304,189,54,722.0
2015-03-26,37,Clear,103,9.0,308,188,34,682.0
2015-03-27,26,Snow,106,7.0,333,176,54,723.0
2015-03-28,28,Clear,90,12.0,293,193,33,657.0
2015-03-29,36,"Rain , Snow",90,5.0,274,178,32,619.0
2015-03-30,48,Clear,94,11.0,324,176,56,717.0
2015-03-31,49,Clear,76,17.0,292,204,37,690.0
2015-04-01,54,Clear,93,16.0,378,253,104,909.0
2015-04-02,58,Rain,114,16.0,347,214,53,791.0
2015-04-03,42,Rain,102,9.0,326,187,42,707.0
2015-04-04,43,Clear,91,10.0,299,196,39,691.0
2015-04-05,51,Clear,65,10.0,296,234,26,671.0
2015-04-06,48,Rain,92,8.0,311,169,43,674.0
2015-04-07,42,Rain,84,12.0,295,115,49,603.0
2015-04-08,45,"Fog , Rain",87,7.0,329,151,47,679.0
2015-04-09,56,"Fog , Rain , Thunderstorm",76,11.0,299,158,43,645.0
2015-04-10,51,Rain,90,12.0,341,157,66,711.0
2015-04-11,50,Clear,89,19.0,322,207,35,719.0
2015-04-12,55,Rain,90,12.0,340,243,34,773.0
2015-04-13,57,"Rain , Thunderstorm",71,13.0,326,201,66,732.0
2015-04-14,53,Clear,93,14.0,341,217,50,764.0
2015-04-15,54,Clear,80,6.0,353,199,92,797.0
2015-04-16,56,Rain,90,10.0,309,191,38,683.0
2015-04-17,62,Clear,102,11.0,364,209,53,784.0
2015-04-18,56,Clear,94,12.0,366,217,36,766.0
2015-04-19,58,Rain,81,10.0,330,218,20,702.0
2015-04-20,47,Rain,94,8.0,336,195,58,742.0
2015-04-21,46,Clear,92,8.0,306,162,40,661.0
2015-04-22,40,Snow,79,12.0,313,192,44,682.0
2015-04-23,44,Clear,83,13.0,330,192,47,730.0
2015-04-24,43,Rain,76,10.0,368,216,46,760.0
2015-04-25,44,Rain,77,13.0,323,185,54,695.0
2015-04-26,46,Clear,68,12.0,327,237,29,716.0
2015-04-27,47,Clear,53,10.0,350,216,51,719.0
2015-04-28,47,Clear,70,13.0,334,210,44,718.0
2015-04-29,50,Clear,83,14.0,360,204,51,764.0
2015-04-30,45,Clear,80,8.0,314,168,46,663.0
2015-05-01,53,Clear,83,15.0,398,256,106,924.0
2015-05-02,63,Clear,58,3.0,312,233,39,684.0
2015-05-03,67,"Rain , Thunderstorm",40,10.0,354,273,22,745.0
2015-05-04,65,Clear,76,8.0,333,254,46,776.0
2015-05-05,52,"Fog , Rain , Thunderstorm",73,10.0,315,184,47,695.0
2015-05-06,62,Fog,81,17.0,338,191,39,737.0
2015-05-07,68,Rain,107,19.0,346,262,41,819.0
2015-05-08,72,"Rain , Thunderstorm",77,10.0,374,238,41,805.0
2015-05-09,56,"Fog , Rain",85,13.0,311,207,35,685.0
2015-05-10,50,"Fog , Rain",70,7.0,357,224,30,740.0
2015-05-11,58,Rain,82,15.0,331,218,44,742.0
2015-05-12,50,Clear,88,11.0,344,204,53,756.0
2015-05-13,46,Clear,81,17.0,361,206,48,767.0
2015-05-14,55,Rain,93,4.0,358,195,41,756.0
2015-05-15,67,Rain,107,18.0,344,250,43,818.0
2015-05-16,71,Rain,75,6.0,403,295,45,881.0
2015-05-17,74,Rain,91,22.0,372,274,28,835.0
2015-05-18,63,Clear,80,15.0,327,227,42,755.0
2015-05-19,47,Clear,77,8.0,321,193,31,706.0
2015-05-20,44,Rain,78,11.0,339,203,38,726.0
2015-05-21,57,Clear,86,11.0,326,203,46,743.0
2015-05-22,57,Clear,100,8.0,396,221,42,822.0
2015-05-23,63,Clear,81,15.0,400,218,36,797.0
2015-05-24,66,Rain,64,8.0,321,239,21,687.0
2015-05-25,72,Rain,69,11.0,314,243,26,708.0
2015-05-26,69,Rain,85,13.0,343,234,39,767.0
2015-05-27,67,Clear,88,13.0,336,205,34,735.0
2015-05-28,68,Clear,80,13.0,376,241,43,798.0
2015-05-29,72,Rain,108,12.0,377,224,47,825.0
2015-05-30,58,Rain,60,7.0,366,210,35,718.0
2015-05-31,49,Rain,67,14.0,305,196,35,663.0
2015-06-01,52,Clear,77,14.0,388,257,115,930.0
2015-06-02,56,Clear,92,11.0,335,234,45,770.0
2015-06-03,64,Clear,92,11.0,349,205,53,775.0
2015-06-04,69,Clear,84,19.0,353,179,39,720.0
2015-06-05,63,Clear,97,11.0,358,203,54,784.0
2015-06-06,62,Clear,92,11.0,365,206,42,756.0
2015-06-07,68,"Rain , Thunderstorm",70,11.0,340,237,26,738.0
2015-06-08,73,"Rain , Hail , Thunderstorm",79,10.0,312,193,42,682.0
2015-06-09,73,Clear,86,11.0,336,195,43,729.0
2015-06-10,80,Clear,98,7.0,365,223,40,787.0
2015-06-11,65,Rain,152,10.0,356,199,36,799.0
2015-06-12,62,"Rain , Thunderstorm",85,17.0,390,239,49,826.0
2015-06-13,71,"Fog , Rain , Thunderstorm",85,11.0,376,258,31,811.0
2015-06-14,76,Rain,67,11.0,386,251,32,794.0
2015-06-15,74,"Fog , Rain , Thunderstorm",21,9.0,376,200,70,738.0
2015-06-16,64,Clear,74,14.0,408,247,43,847.0
2015-06-17,64,Rain,72,11.0,360,205,28,720.0
2015-06-18,69,"Fog , Rain , Thunderstorm",63,13.0,389,214,40,766.0
2015-06-19,61,Clear,88,20.0,387,203,33,775.0
2015-06-20,66,"Rain , Thunderstorm",43,11.0,375,253,40,765.0
2015-06-21,76,Clear,47,16.0,335,331,21,783.0
2015-06-22,75,"Rain , Thunderstorm",61,7.0,393,230,39,780.0
2015-06-23,73,Clear,88,15.0,332,205,35,729.0
2015-06-24,70,Clear,77,16.0,368,194,34,728.0
2015-06-25,70,"Rain , Thunderstorm",101,11.0,382,207,33,783.0
2015-06-26,63,Rain,71,13.0,384,211,56,781.0
2015-06-27,66,Clear,60,13.0,357,210,38,720.0
2015-06-28,67,Rain,57,18.0,368,278,24,796.0
2015-06-29,70,"Rain , Thunderstorm",84,16.0,350,208,46,750.0
2015-06-30,67,Rain,91,15.0,357,204,40,747.0
2015-07-01,62,Clear,96,11.0,399,196,101,867.0
2015-07-02,61,Clear,94,10.0,349,190,58,756.0
2015-07-03,66,Clear,79,15.0,377,205,45,768.0
2015-07-04,70,Clear,63,13.0,430,272,24,845.0
2015-07-05,72,Clear,88,12.0,405,322,23,897.0
2015-07-06,75,"Rain , Thunderstorm",65,12.0,350,217,53,755.0
2015-07-07,63,Rain,78,11.0,357,171,41,699.0
2015-07-08,61,Rain,87,6.0,358,163,42,712.0
2015-07-09,68,Rain,87,10.0,337,161,32,671.0
2015-07-10,71,Clear,89,10.0,377,158,49,738.0
2015-07-11,70,Rain,81,23.0,375,251,30,797.0
2015-07-12,76,Clear,86,13.0,360,255,41,801.0
2015-07-13,77,"Rain , Thunderstorm",74,14.0,382,190,58,779.0
2015-07-14,72,Clear,87,19.0,344,179,31,711.0
2015-07-15,67,Clear,85,10.0,396,191,57,791.0
2015-07-16,67,"Rain , Thunderstorm",58,8.0,347,160,43,669.0
2015-07-17,82,"Rain , Thunderstorm",94,11.0,411,202,48,824.0
2015-07-18,81,"Rain , Thunderstorm",62,5.0,360,262,40,775.0
2015-07-19,75,Clear,61,14.0,360,258,29,762.0
2015-07-20,74,Clear,68,6.0,393,207,42,777.0
2015-07-21,74,Clear,83,11.0,374,216,40,775.0
2015-07-22,74,Clear,94,8.0,359,213,41,771.0
2015-07-23,74,Clear,95,11.0,404,206,37,808.0
2015-07-24,74,Clear,92,12.0,451,217,42,865.0
2015-07-25,80,Clear,64,11.0,412,255,35,831.0
2015-07-26,72,Rain,74,6.0,375,276,24,802.0
2015-07-27,78,Clear,71,11.0,431,221,52,832.0
2015-07-28,79,Clear,73,6.0,382,215,45,765.0
2015-07-29,79,Rain,78,11.0,371,211,47,762.0
2015-07-30,77,Clear,85,16.0,369,205,32,772.0
2015-07-31,77,Clear,74,9.0,380,214,58,776.0
2015-08-01,76,Clear,80,12.0,503,273,89,1020.0
2015-08-02,79,"Rain , Thunderstorm",78,18.0,383,272,30,821.0
2015-08-03,75,Clear,65,7.0,359,191,45,729.0
2015-08-04,72,Clear,95,16.0,361,208,43,761.0
2015-08-05,72,Clear,103,8.0,368,193,46,769.0
2015-08-06,74,Clear,94,8.0,399,205,40,807.0
2015-08-07,73,Clear,87,10.0,403,239,43,839.0
2015-08-08,75,Clear,71,17.0,415,248,46,848.0
2015-08-09,74,Rain,83,10.0,347,235,19,744.0
2015-08-10,76,Rain,66,10.0,400,224,46,808.0
2015-08-11,74,Clear,96,13.0,361,216,38,789.0
2015-08-12,71,Clear,108,7.0,356,200,36,758.0
2015-08-13,75,Clear,80,13.0,354,237,53,783.0
