Crime Code Description,Category
BATTERY - SIMPLE ASSAULT,Violent
BURGLARY FROM VEHICLE,Property
VEHICLE - STOLEN,Property
BURGLARY,Property
THEFT PLAIN - PETTY ($950 & UNDER),Property
THEFT OF IDENTITY,Property
INTIMATE PARTNER - SIMPLE ASSAULT,Violent
"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",Property
VANDALISM - MISDEAMEANOR ($399 OR UNDER),Property
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Violent
THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),Property
ROBBERY,Property
"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",Property
CRIMINAL THREATS - NO WEAPON DISPLAYED,Violent
SHOPLIFTING - PETTY THEFT ($950 & UNDER),Property
THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),Property
DOCUMENT FORGERY / STOLEN FELONY,White Collar
OTHER MISCELLANEOUS CRIME,
VIOLATION OF COURT ORDER,Consensual
"LETTERS, LEWD",Disturbance
TRESPASSING,Property
VIOLATION OF RESTRAINING ORDER,Disturbance
"THEFT, PERSON",Violent
"BURGLARY, ATTEMPTED",Property
BRANDISH WEAPON,Violent
INTIMATE PARTNER - AGGRAVATED ASSAULT,Violent
BIKE - STOLEN,Property
ATTEMPTED ROBBERY,Property
BATTERY WITH SEXUAL CONTACT,Violent
"RAPE, FORCIBLE",Violent
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,Violent
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)0060,Violent
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",White Collar
"BUNCO, GRAND THEFT",White Collar
CHILD NEGLECT (SEE 300 W.I.C.),Violent
CHILD ANNOYING (17YRS & UNDER),Disturbance
BATTERY POLICE (SIMPLE),Violent
"BUNCO, PETTY THEFT",White Collar
"SEX, UNLAWFUL",Violent
SHOPLIFTING-GRAND THEFT ($950.01 & OVER),Property
DISCHARGE FIREARMS/SHOTS FIRED,Violent
DISTURBING THE PEACE,Disturbance
ARSON,Property
CONTEMPT OF COURT,Disturbance
INDECENT EXPOSURE,Disturbance
RESISTING ARREST,Violent
VEHICLE - ATTEMPT STOLEN,Property
THREATENING PHONE CALLS/LETTERS,Violent
"BURGLARY FROM VEHICLE, ATTEMPTED",Property
CRIMINAL HOMICIDE,Violent
OTHER ASSAULT,Violent
SHOTS FIRED AT INHABITED DWELLING,Violent
EXTORTION,Violent
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $400 & UNDER",White Collar
KIDNAPPING,Violent
STALKING,Disturbance
SEXUAL PENTRATION WITH A FOREIGN OBJECT,Violent
THEFT PLAIN - ATTEMPT,Property
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,Violent
ORAL COPULATION,Violent
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,Violent
THROWING OBJECT AT MOVING VEHICLE,Violent
CRUELTY TO ANIMALS,Violent
SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH 0007=02,Violent
VIOLATION OF TEMPORARY RESTRAINING ORDER,Disturbance
UNAUTHORIZED COMPUTER ACCESS,Property
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",Disturbance
LEWD CONDUCT,Disturbance
PURSE SNATCHING,Property
THEFT FROM MOTOR VEHICLE - ATTEMPT,Property
PEEPING TOM,Disturbance
CHILD STEALING,Violent
"RAPE, ATTEMPTED",Violent
BOMB SCARE,Violent
PROWLER,Property
FALSE IMPRISONMENT,
COUNTERFEIT,White Collar
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",White Collar
PICKPOCKET,Property
KIDNAPPING - GRAND ATTEMPT,Violent
"BUNCO, ATTEMPT",White Collar
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",White Collar
PIMPING,Consensual
ILLEGAL DUMPING,Consensual
DRIVING WITHOUT OWNER CONSENT (DWOC),Property
FALSE POLICE REPORT,Consensual
FAILURE TO YIELD,Disturbance
DOCUMENT WORTHLESS ($200.01 & OVER),White Collar
SEXUAL PENETRATION W/FOREIGN OBJECT,Violent
"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ0059",Violent
BATTERY ON A FIREFIGHTER,Violent
BOAT - STOLEN,Property
THEFT FROM PERSON - ATTEMPT,Violent
PANDERING,Disturbance
"SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT",Violent
"CREDIT CARDS, FRAUD USE ($950 & UNDER",White Collar
RECKLESS DRIVING,Disturbance
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $400",White Collar
"THEFT, COIN MACHINE - PETTY ($950 & UNDER)",Property
SHOPLIFTING - ATTEMPT,Property
CONTRIBUTING,Disturbance
WEAPONS POSSESSION/BOMBING,Violent
DISHONEST EMPLOYEE - GRAND THEFT,White Collar
DISHONEST EMPLOYEE - PETTY THEFT,White Collar
CHILD ABANDONMENT,Violent
TILL TAP - PETTY ($950 & UNDER),White Collar
GRAND THEFT / INSURANCE FRAUD,White Collar
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,Violent
CONSPIRACY,
DOCUMENT WORTHLESS ($200 & UNDER),White Collar
PURSE SNATCHING - ATTEMPT,Property
LEWD/LASCIVIOUS ACTS WITH CHILD,Violent
LYNCHING,Violent
"DRUGS, TO A MINOR",Disturbance
DISRUPT SCHOOL,Disturbance
CHILD PORNOGRAPHY,Violent
TELEPHONE PROPERTY - DAMAGE,Property
"THEFT, COIN MACHINE - GRAND ($950.01 & OVER)",Property
BIKE - ATTEMPTED STOLEN,Property
BRIBERY,White Collar
DRUNK ROLL,Property
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM0065",Violent
"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)0132",White Collar
LYNCHING - ATTEMPTED,Violent
PETTY THEFT - AUTO REPAIR,Property
"THEFT, COIN MACHINE - ATTEMPT",Property
"PICKPOCKET, ATTEMPT",Property
FAILURE TO DISPERSE,Disturbance
TILL TAP - GRAND THEFT ($950.01 & OVER),White Collar
GRAND THEFT / AUTO REPAIR,Property
INCITING A RIOT,Violent
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,Violent
BIGAMY,Consensual
DISHONEST EMPLOYEE ATTEMPTED THEFT,White Collar
INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),Consensual
ABORTION/ILLEGAL,Consensual
"MANSLAUGHTER, NEGLIGENT",Violent
BLOCKING DOOR INDUCTION CENTER,Disturbance
TILL TAP - ATTEMPT,White Collar
TRAIN WRECKING,Violent
FIREARMS RESTRAINING ORDER (FIREARMS RO),Violent
DRUNK ROLL - ATTEMPT,Property
